Severity,Start_Time,End_Time,Distance(mi),State,Country,Temperature(F),Humidity(%),Visibility(mi),Wind_Speed(mph),Weather_Condition,Sunrise_Sunset,Civil_Twilight,Nautical_Twilight,Astronomical_Twilight,Day,Month,Year,Hour,Weekday,High_Severity
1,2020-04-17 09:29:30,2020-04-17 10:29:30,0.0,FL,US,78.0,81.0,10.0,13.0,Mostly Cloudy,Day,Day,Day,Day,17,4,2020,9.0,Friday,False
2,,2022-04-21 11:44:08.000000000,0.045,CA,US,55.0,88.0,10.0,9.0,Mostly Cloudy,Day,Day,Day,Day,,,,,,False
3,2016-08-12 16:45:00,2016-08-12 17:15:00,0.0,GA,US,91.0,47.0,10.0,10.4,Partly Cloudy,Day,Day,Day,Day,12,8,2016,16.0,Friday,True
3,2019-09-20 15:22:16,2019-09-20 15:56:00,0.0,WA,US,67.0,84.0,10.0,3.0,Cloudy,Day,Day,Day,Day,20,9,2019,15.0,Friday,True
2,2019-06-03 16:55:43,2019-06-03 18:12:09,0.0,AZ,US,95.0,16.0,10.0,6.0,Fair,Day,Day,Day,Day,3,6,2019,16.0,Monday,False
2,2021-02-04 12:48:21,2021-02-04 16:51:15,7.769999980926514,IA,US,19.0,93.0,0.5,28.0,Light Snow / Windy,Day,Day,Day,Day,4,2,2021,12.0,Thursday,False
2,2022-06-23 10:57:30,2022-06-23 15:43:00,1.829,VA,US,68.0,84.0,10.0,8.0,Cloudy,Day,Day,Day,Day,23,6,2022,10.0,Thursday,False
3,2020-09-25 16:48:29,2020-09-25 17:38:44,0.0,GA,US,79.0,78.0,1.0,13.0,Heavy T-Storm,Day,Day,Day,Day,25,9,2020,16.0,Friday,True
2,2022-02-04 19:57:43,2022-02-04 20:42:10,0.0,MD,US,36.0,72.0,10.0,10.0,Cloudy,Night,Night,Night,Night,4,2,2022,19.0,Friday,False
2,,2023-03-26 17:29:42.000000000,0.6659999999999999,CA,US,56.0,30.0,10.0,15.0,Fair,Day,Day,Day,Day,,,,,,False
2,2020-01-14 00:41:00,2020-01-14 03:54:09,0.0,MN,US,26.0,93.0,3.0,8.0,Cloudy,Night,Night,Night,Night,14,1,2020,0.0,Tuesday,False
2,2018-03-23 07:43:01,2018-03-23 08:12:36,0.0,PA,US,26.1,63.0,10.0,3.5,Clear,Day,Day,Day,Day,23,3,2018,7.0,Friday,False
2,2022-04-27 15:47:00,2022-04-27 17:26:03,0.076,CA,US,61.0,67.0,9.0,14.0,Fair,Day,Day,Day,Day,27,4,2022,15.0,Wednesday,False
2,2022-08-21 06:40:30,2022-08-21 07:23:00,2.537,LA,US,81.0,91.0,10.0,3.0,Fair,Day,Day,Day,Day,21,8,2022,6.0,Sunday,False
2,2018-09-11 08:16:17,2018-09-11 08:46:07,0.0,TN,US,64.9,87.0,10.0,6.9,Overcast,Day,Day,Day,Day,11,9,2018,8.0,Tuesday,False
2,2022-03-22 08:11:25,2022-03-22 09:50:27,2.377,VA,US,44.0,79.0,10.0,0.0,Fair,Day,Day,Day,Day,22,3,2022,8.0,Tuesday,False
2,2022-04-22 12:48:26,2022-04-22 13:33:38,0.0,OK,US,74.0,68.0,10.0,23.0,Cloudy / Windy,Day,Day,Day,Day,22,4,2022,12.0,Friday,False
2,2022-09-07 17:47:35,2022-09-07 18:47:05,0.0,MA,US,71.0,53.0,10.0,12.0,Mostly Cloudy,Day,Day,Day,Day,7,9,2022,17.0,Wednesday,False
3,2021-12-08 05:01:58,2021-12-08 07:42:33,0.0,NC,US,40.0,93.0,1.0,3.0,Heavy Rain,Night,Night,Night,Night,8,12,2021,5.0,Wednesday,True
2,2021-10-09 15:52:04,2021-10-09 17:12:52,0.055,NY,US,67.0,54.0,10.0,9.0,Mostly Cloudy,Day,Day,Day,Day,9,10,2021,15.0,Saturday,False
3,2022-03-22 18:51:15,2022-03-22 19:43:41,0.0,SC,US,64.0,64.0,10.0,6.0,Partly Cloudy,Day,Day,Day,Day,22,3,2022,18.0,Tuesday,True
4,2019-04-06 07:16:01,2019-04-06 18:25:00,0.028,OR,US,48.0,80.0,10.0,14.0,Light Rain,Day,Day,Day,Day,6,4,2019,7.0,Saturday,True
2,2016-10-18 17:38:19,2016-10-18 18:08:07,0.01,MI,US,70.0,65.0,10.0,13.8,Clear,Day,Day,Day,Day,18,10,2016,17.0,Tuesday,False
2,2021-05-26 07:00:00,2021-05-26 07:43:30,0.557,FL,US,64.0,93.0,8.0,3.0,Fair,Day,Day,Day,Day,26,5,2021,7.0,Wednesday,False
2,2018-12-18 01:24:42,2018-12-18 05:24:42,0.0,OR,US,,,,7.0,,Night,Night,Night,Night,18,12,2018,1.0,Tuesday,False
3,2019-01-04 13:38:05,2019-01-04 14:07:42,0.0,PA,US,39.0,82.0,8.0,7.0,Clear,Day,Day,Day,Day,4,1,2019,13.0,Friday,True
2,2019-12-10 07:34:34,2019-12-10 08:04:10,0.915,FL,US,59.0,100.0,2.0,0.0,Fog,Day,Day,Day,Day,10,12,2019,7.0,Tuesday,False
2,2018-10-01 04:34:17,2018-10-01 05:03:50,0.0,CA,US,57.9,75.0,10.0,7.0,Clear,Night,Night,Night,Night,1,10,2018,4.0,Monday,False
2,,2021-01-30 18:14:48.000000000,0.021,OR,US,46.0,79.0,10.0,17.0,Cloudy,Day,Day,Day,Day,,,,,,False
2,2022-10-14 22:27:17,2022-10-15 00:38:01,1.1909999999999998,NY,US,59.0,58.0,10.0,3.0,Fair,Night,Night,Night,Night,14,10,2022,22.0,Friday,False
2,2021-11-10 22:33:19,2021-11-11 01:24:19,0.072,VA,US,51.0,96.0,10.0,0.0,Fair,Night,Night,Night,Night,10,11,2021,22.0,Wednesday,False
2,2018-10-30 16:24:01,2018-10-30 16:53:26,0.0,CA,US,,,10.0,8.1,Clear,Day,Day,Day,Day,30,10,2018,16.0,Tuesday,False
2,2017-12-08 16:00:56,2017-12-08 16:30:25,0.0,IL,US,34.0,46.0,10.0,9.2,Clear,Day,Day,Day,Day,8,12,2017,16.0,Friday,False
3,2017-02-16 17:50:07,2017-02-16 18:19:46,0.01,VA,US,37.0,39.0,10.0,15.0,Clear,Night,Day,Day,Day,16,2,2017,17.0,Thursday,True
2,2018-11-27 07:32:44,2018-11-27 08:02:18,0.0,TX,US,37.9,41.0,10.0,3.5,Clear,Day,Day,Day,Day,27,11,2018,7.0,Tuesday,False
3,2018-11-04 22:41:28,2018-11-04 23:11:06,0.0,FL,US,80.1,74.0,10.0,16.1,Scattered Clouds,Night,Night,Night,Night,4,11,2018,22.0,Sunday,True
2,2016-10-26 12:46:56,2016-10-26 13:16:38,0.01,WA,US,55.9,97.0,9.0,3.5,Light Rain,Day,Day,Day,Day,26,10,2016,12.0,Wednesday,False
2,2022-10-15 11:28:00,2022-10-15 14:33:10,0.094,CA,US,70.0,71.0,10.0,7.0,Cloudy,Day,Day,Day,Day,15,10,2022,11.0,Saturday,False
2,2021-09-26 15:17:30,2021-09-26 17:30:00,2.24,MD,US,73.0,33.0,10.0,15.0,Fair,Day,Day,Day,Day,26,9,2021,15.0,Sunday,False
2,2022-02-27 18:32:30,2022-02-27 19:19:00,1.083,CA,US,62.0,24.0,10.0,0.0,Fair,Night,Night,Day,Day,27,2,2022,18.0,Sunday,False
2,2020-10-29 23:17:48,2020-10-30 00:42:46,0.872,NY,US,41.0,89.0,10.0,13.0,Cloudy,Night,Night,Night,Night,29,10,2020,23.0,Thursday,False
3,2018-08-23 00:00:24,2018-08-23 00:29:48,0.365,FL,US,79.0,84.0,10.0,7.0,Clear,Night,Night,Night,Night,23,8,2018,0.0,Thursday,True
2,2019-03-20 08:10:59,2019-03-20 08:57:02,0.0,KS,US,,,,7.0,,Day,Day,Day,Day,20,3,2019,8.0,Wednesday,False
2,2021-03-29 07:40:50,2021-03-29 13:40:57,0.16,FL,US,70.0,100.0,0.5,0.0,Fog,Day,Day,Day,Day,29,3,2021,7.0,Monday,False
2,2021-02-08 23:52:00,2021-02-09 01:27:46,0.1669999999999999,FL,US,69.0,87.0,10.0,3.0,Fair,Night,Night,Night,Night,8,2,2021,23.0,Monday,False
2,2023-01-25 14:35:00,2023-01-25 15:50:35,0.146,FL,US,88.0,40.0,7.0,18.0,Partly Cloudy,Day,Day,Day,Day,25,1,2023,14.0,Wednesday,False
2,2017-02-24 06:29:28,2017-02-24 07:03:00,0.01,CA,US,39.2,93.0,10.0,7.0,Clear,Night,Day,Day,Day,24,2,2017,6.0,Friday,False
